Case Number,APS Filed,Suspicious Activity,Gender,DOB,US Citizen,State,Product
2022-02-00368,No,Unknown Source of Funds,Female,10/2/1945,Yes,California,Variable Annuity
2022-11-03506,No,Elder Financial Exploitation,Female,12/21/1946,Yes,New York,Variable Annuity
2021-05-01413,No,Account Takeover,Female,9/1/1959,Yes,Illinois,Variable Annuity
2021-10-03028,No,Unusual/unexplained Activity,Male,5/21/1982,Yes,Florida,Retirement Plan
2022-06-01765,No,Fraudulent Patterns,Male,4/10/1946,Yes,Louisiana,Variable Annuity
2021-07-02078,No,Unusual/unexplained Activity,Male,3/11/1958,Yes,Missouri,Variable Annuity
2022-06-01940,No,Fraudulent Documents,Female,7/30/1939,Yes,New Jersey,Variable Annuity
2021-09-02608,No,Money Laundering,Female,1/6/1966,Yes,Minnesota,Fixed Annuity
2022-08-02519,No,Unknown Source of Funds,Female,2/11/1963,Yes,New York,Life Insurance
2022-08-02519,No,Unknown Source of Funds,Male,6/4/1961,Yes,New York,Life Insurance
2021-08-02297,No,Producer Misconduct,Male,4/11/1987,Yes,New York,Variable Annuity
2022-12-03725,No,Identity Theft,Female,12/10/1976,Yes,Virginia,Variable Annuity
2022-10-03170,No,Identity Theft,Male,6/13/1980,Yes,Washington,Variable Annuity
2022-06-01672,No,Unusual/unexplained Activity,Male,12/16/1962,No,New York,Life Insurance
2022-06-01672,No,Unusual/unexplained Activity,Female,8/4/1967,Yes,New York,Life Insurance
2022-12-03891,No,ACH Fraud,Male,12/3/1964,Yes,California,Variable Annuity
2021-07-01965,No,Check Fraud,Female,9/23/1983,Yes,New Mexico,Variable Annuity
2021-09-02662,No,Suspicious Call,Male,2/17/1956,Yes,California,Retirement Plan
2021-04-00983,No,Check Fraud,Female,6/2/1961,Yes,New York,Variable Annuity
2022-08-02324,No,Account Takeover,Male,2/18/1950,Yes,New York,Variable Annuity
2022-11-03514,No,Elder Financial Exploitation,Male,5/10/1944,Yes,South Carolina,Variable Annuity
2021-05-01368,No,Suspicious Call,Female,9/26/1958,Yes,Alabama,Variable Annuity
2022-09-02778,No,Suspicious Call,Male,7/23/1966,Yes,Maryland,Retirement Plan
2021-08-02360,No,Fraudulent Documents,Male,7/31/1968,Yes,Florida,Retirement Plan
2021-06-01765,No,Unknown Third Party Payment,Male,8/8/1948,Yes,Ohio,Variable Annuity
2022-06-01670,No,ACH Fraud,Female,5/30/1948,Yes,South Carolina,Variable Annuity
2022-02-00533,No,ACH Fraud,Female,8/6/1957,Yes,Michigan,Variable Annuity
2022-03-00844,No,Elder Financial Exploitation,Female,2/10/1939,Yes,Texas,Life Insurance
2022-03-00844,No,Elder Financial Exploitation,Female,1/28/1979,Yes,Texas,Life Insurance
2022-05-01458,No,Check Fraud,Male,2/7/1975,Yes,Florida,Variable Annuity
2021-06-01892,No,Suspicious Call,Male,2/10/1952,Yes,New York,Retirement Plan
2022-09-02867,No,Account Takeover,Male,11/13/1936,Yes,Florida,Retirement Plan
2021-07-02022,No,Account Takeover,Female,12/16/1964,Yes,California,Retirement Plan
2022-07-02086,No,Suspicious Call,Female,7/19/1979,Yes,California,Retirement Plan
2022-04-01015,No,Fraudulent Patterns,Female,9/20/1941,Yes,California,Retirement Plan
2022-05-01293,No,Suspicious Call,Male,8/11/1942,Yes,Colorado,Retirement Plan
2021-07-02015,No,Suspicious Call,Male,9/3/1966,Yes,Georgia,Retirement Plan
2021-07-02015,No,Suspicious Call,Male,12/8/1969,Yes,Georgia,Retirement Plan
2022-08-02251,No,Account Takeover,Female,8/17/1963,Yes,Florida,Retirement Plan
2021-06-01792,No,Producer Misconduct,Female,4/19/1939,Yes,Maryland,Retirement Plan
2022-11-03465,No,Producer Misconduct,Female,10/18/1958,Yes,California,Retirement Plan
2021-01-00193,No,Fraudulent Patterns,Male,12/21/1974,No,Texas,Retirement Plan
2022-09-02785,No,Fraudulent Documents,Female,9/29/1970,Yes,Virginia,Life Insurance
2021-08-02521,No,ACH Fraud,Male,5/28/1977,Yes,Florida,Retirement Plan
2021-04-01288,No,Unusual/unexplained Activity,Male,3/6/1958,Yes,Texas,Life Insurance
2022-12-03618,No,Money Laundering,Female,1/20/1988,Yes,Georgia,Retirement Plan
2022-08-02322,No,Money Laundering,Male,3/2/1972,Yes,Texas,Life Insurance
2021-09-02767,No,Check Fraud,Female,8/8/1957,Yes,Maryland,Variable Annuity
2021-09-02767,No,Check Fraud,Female,12/18/1940,Yes,Maryland,Variable Annuity
2022-09-02619,No,Unknown Source of Funds,Male,8/15/1962,Yes,Pennsylvania,Life Insurance
2021-11-03218,No,Suspicious Call,Female,1/31/1974,Yes,Wisconsin,Retirement Plan
2021-07-02028,No,Unusual/unexplained Activity,Male,10/13/1949,Yes,Michigan,Variable Annuity
2022-05-01422,No,Unknown Source of Funds,Female,8/3/1953,Yes,North Carolina,Fixed Annuity
2021-12-03827,No,Suspicious Call,Male,4/21/1944,Yes,Utah,Retirement Plan
2022-05-01332,No,Unusual/unexplained Activity,Female,9/28/1946,Yes,California,Variable Annuity
2022-07-02083,No,Unusual/unexplained Activity,Male,6/28/1963,Yes,Kansas,Life Insurance
2022-01-00100,No,Elder Financial Exploitation,Female,9/2/1942,Yes,Colorado,Fixed Annuity
2021-01-00156,No,Unusual/unexplained Activity,Female,1/28/1960,Yes,Georgia,Fixed Annuity
2021-05-01402,No,Check Fraud,Female,8/14/1933,Yes,Florida,Fixed Annuity
2021-02-00589,No,Fraudulent Patterns,Female,11/9/1985,Yes,California,Life Insurance
2021-02-00589,No,Fraudulent Patterns,Female,5/24/1959,No,California,Life Insurance
2022-03-00593,No,Suspicious Call,Male,5/24/1953,Yes,Texas,Retirement Plan
2021-10-03135,No,Unknown Source of Funds,Female,3/10/1961,Yes,Florida,Life Insurance
2022-11-03456,No,Elder Financial Exploitation,Female,6/16/1938,Yes,West Virginia,Mutual Fund
2022-09-02880,No,Money Laundering,Male,7/7/1953,Yes,Florida,Fixed Annuity
2022-09-02880,No,Money Laundering,Female,10/26/1956,Yes,Florida,Fixed Annuity
2022-02-00528,No,Fraudulent Patterns,Male,3/28/1982,Yes,Illinois,Retirement Plan
2021-02-00484,No,Check Fraud,Male,9/16/1928,Yes,Indiana,Retirement Plan
2022-08-02568,No,Unknown Source of Funds,Female,5/5/1965,Yes,Illinois,Life Insurance
2022-08-02568,No,Unknown Source of Funds,Male,6/28/1963,Yes,Illinois,Life Insurance
2021-02-00471,No,Suspicious Call,Male,8/14/1983,Yes,Florida,Retirement Plan
2021-02-00542,No,Fraudulent Patterns,Male,10/6/1949,Yes,Ohio,Retirement Plan
2021-04-01256,No,Elder Financial Exploitation,Male,6/11/1933,Yes,Maryland,Retirement Plan
2021-01-00019,No,Suspicious Call,Female,8/14/1973,No,California,Retirement Plan
2022-01-00141,No,Elder Financial Exploitation,Female,11/12/1940,Yes,Wisconsin,Variable Annuity
2022-01-00141,No,Elder Financial Exploitation,Male,6/5/1936,Yes,Wisconsin,Variable Annuity
2022-08-02520,No,Unknown Source of Funds,Male,5/23/1985,Yes,Texas,Life Insurance
2022-08-02520,No,Unknown Source of Funds,Female,2/10/1954,Yes,Texas,Life Insurance
2021-04-01168,No,Fraudulent Patterns,Male,12/15/1960,Yes,New York,Retirement Plan
2022-01-00080,No,Elder Financial Exploitation,Female,1/4/1948,Yes,Ohio,Retirement Plan
2021-09-02755,No,Loan Fraud,Male,5/19/1985,Yes,Michigan,Retirement Plan
2022-06-01758,No,Identity Theft,Male,1/22/1953,Yes,Pennsylvania,Retirement Plan
2021-04-01244,No,Unusual/unexplained Activity,Female,10/2/1972,No,Massachusetts,Life Insurance
2022-08-02532,No,Check Fraud,Female,3/26/1987,Yes,New York,Retirement Plan
2022-03-00771,No,Unknown Source of Funds,Female,12/15/1972,Yes,Illinois,Life Insurance
2021-04-01058,No,Elder Financial Exploitation,Male,8/30/1964,Yes,Florida,Retirement Plan
2021-04-01058,No,Elder Financial Exploitation,Female,1/18/1986,Yes,Florida,Retirement Plan
2022-05-01472,No,Suspicious Call,Male,11/30/1959,Yes,Pennsylvania,Retirement Plan
2022-10-02995,No,Suspicious Call,Male,7/7/1943,Yes,California,Retirement Plan
2021-04-01095,No,Producer Misconduct,Female,10/10/1951,Yes,Georgia,Life Insurance
2022-10-03246,No,Fraudulent Patterns,Female,11/7/1952,Yes,Illinois,Retirement Plan
2022-07-01970,No,Suspicious Call,Male,8/31/1988,Yes,Massachusetts,Retirement Plan
2022-05-01538,No,Elder Financial Exploitation,Male,6/18/1948,Yes,Hawaii,Fixed Annuity
2022-06-01834,No,Elder Financial Exploitation,Female,3/22/1959,Yes,Massachusetts,Retirement Plan
2022-09-02916,No,Elder Financial Exploitation,Female,8/8/1944,Yes,California,Variable Annuity
2022-02-00300,No,ACH Fraud,Male,4/20/1957,Yes,Florida,Fixed Annuity
2022-08-02302,No,Elder Financial Exploitation,Female,7/22/1944,Yes,Texas,Variable Annuity
2021-02-00327,No,Suspicious Call,Female,12/16/1953,Yes,Pennsylvania,Retirement Plan
2022-08-02585,No,ACH Fraud,Female,6/6/1963,Yes,New York,Retirement Plan
2022-11-03367,No,Account Takeover,Female,4/4/1965,Yes,Massachusetts,Variable Annuity
2021-02-00316,No,Suspicious Call,Male,5/26/1960,Yes,Mississippi,Retirement Plan
2021-08-02372,No,Fraudulent Patterns,Male,6/22/1961,Yes,Michigan,Retirement Plan
2022-10-03030,No,Fraudulent Patterns,Female,3/1/1960,Yes,Alabama,Retirement Plan
2021-11-03459,No,ACH Fraud,Female,7/28/1986,Yes,North Carolina,Retirement Plan
2022-10-03213,No,ACH Fraud,Male,7/31/1960,Yes,Pennsylvania,Retirement Plan
2022-09-02681,No,Fraudulent Patterns,Female,3/2/1954,Yes,California,Retirement Plan
2021-12-03685,No,Elder Financial Exploitation,Female,11/8/1953,Yes,New York,Life Insurance
2021-12-03685,No,Elder Financial Exploitation,Female,9/8/1986,Yes,New York,Life Insurance
2022-08-02279,No,Fraudulent Documents,Male,3/20/1964,Yes,Maryland,Retirement Plan
2022-11-03360,No,Unusual/unexplained Activity,Male,8/29/1961,Yes,Pennsylvania,Life Insurance
2021-04-01243,No,Unusual/unexplained Activity,Female,10/14/1962,Yes,Louisiana,Life Insurance
2022-04-01027,Yes,Elder Financial Exploitation,Female,6/22/1941,Yes,New York,Fixed Annuity
2022-07-02070,No,Suspicious Call,Male,12/31/1985,Yes,Missouri,Retirement Plan
2021-11-03275,No,Money Laundering,Male,8/25/1948,Yes,New York,Variable Annuity
2021-06-01680,No,Suspicious Call,Male,1/20/1986,Yes,Ohio,Retirement Plan
2021-03-00872,No,Suspicious Call,Female,3/6/1975,Yes,California,Retirement Plan
2022-07-02094,No,Fraudulent Patterns,Male,2/20/1963,Yes,Indiana,Retirement Plan
2021-09-02673,No,Fraudulent Patterns,Female,10/7/1948,Yes,Nevada,Retirement Plan
2022-01-00122,No,Fraudulent Patterns,Male,2/4/1931,Yes,New York,Retirement Plan
2021-05-01588,No,Unusual/unexplained Activity,Female,5/18/1949,Yes,Texas,Variable Annuity
2021-05-01588,No,Unusual/unexplained Activity,Male,9/22/1963,Yes,Texas,Variable Annuity
2021-05-01588,No,Unusual/unexplained Activity,Female,2/19/1959,Yes,Texas,Variable Annuity
2021-06-01753,No,Unusual/unexplained Activity,Male,10/14/1970,Yes,California,Retirement Plan
2022-04-00990,No,Fraudulent Patterns,Female,2/6/1937,Yes,New York,Retirement Plan
2021-07-02105,No,Account Takeover,Female,9/24/1955,Yes,Texas,Variable Annuity
2022-01-00027,No,Fraudulent Patterns,Male,9/21/1956,Yes,Florida,Retirement Plan
2021-01-00095,No,Money Laundering,Male,11/15/1960,Yes,New Hampshire,Fixed Annuity
2022-09-02875,No,Suspicious Call,Male,8/12/1940,Yes,Illinois,Retirement Plan
2021-11-03211,No,ACH Fraud,Female,4/26/1945,Yes,Ohio,Retirement Plan
2022-03-00875,No,Elder Financial Exploitation,Female,7/25/1940,Yes,New York,Retirement Plan
2022-11-03500,No,Money Laundering,Male,12/8/1945,Yes,North Carolina,Variable Annuity
2021-10-03021,No,Suspicious Call,Male,9/24/1982,Yes,California,Retirement Plan
2021-02-00578,No,ACH Fraud,Male,9/6/1962,Yes,New York,Retirement Plan
2021-03-00822,No,Suspicious Call,Female,2/25/1950,Yes,Georgia,Variable Annuity
2022-11-03574,No,Fraudulent Patterns,Male,4/8/1969,Yes,Michigan,Retirement Plan
2021-07-01987,No,Money Laundering,Male,10/28/1963,Yes,California,Life Insurance
2021-11-03444,No,Elder Financial Exploitation,Male,7/1/1977,Yes,Florida,Retirement Plan
2022-07-02126,No,Fraudulent Patterns,Male,4/21/1944,Yes,California,Retirement Plan
2022-06-01854,No,Unknown Third Party Payment,Female,1/2/1947,Yes,Wisconsin,Variable Annuity
2022-06-01854,No,Unknown Third Party Payment,Male,8/22/1945,Yes,Wisconsin,Variable Annuity
2021-09-02762,No,Suspicious Call,Male,8/8/1980,Yes,Ohio,Retirement Plan
2022-05-01499,No,Suspicious Call,Female,12/24/1954,Yes,Texas,Fixed Annuity
2021-03-00936,No,Money Laundering,Female,7/28/1946,Yes,Missouri,Fixed Annuity
2021-07-02103,No,Producer Misconduct,Female,4/13/1956,Yes,Connecticut,Fixed Annuity
2021-07-02103,No,Producer Misconduct,Male,10/9/1955,Yes,Connecticut,Fixed Annuity
2021-07-02103,No,Producer Misconduct,Male,6/15/1950,Yes,Connecticut,Fixed Annuity
2022-04-01047,No,Elder Financial Exploitation,Female,5/3/1951,Yes,Montana,Retirement Plan
2022-12-03694,No,Fraudulent Patterns,Female,1/9/1934,Yes,Arizona,Retirement Plan
2021-02-00352,No,Money Laundering,Male,11/18/1950,Yes,Ohio,Variable Annuity
2022-08-02424,Yes,Elder Financial Exploitation,Male,7/21/1946,Yes,Arizona,Variable Annuity
2021-08-02271,No,Unusual/unexplained Activity,Female,8/29/1970,Yes,California,Life Insurance
2021-08-02271,No,Unusual/unexplained Activity,Male,2/29/1968,Yes,California,Life Insurance
2022-06-01725,No,Suspicious Call,Male,8/20/1984,Yes,California,Retirement Plan
2022-11-03470,No,Fraudulent Documents,Female,7/14/1966,Yes,Florida,Retirement Plan
2021-04-01163,No,Fraudulent Patterns,Female,11/17/1982,Yes,New York,Retirement Plan
2021-04-01163,No,Fraudulent Patterns,Female,10/12/1968,Yes,New York,Retirement Plan
2021-07-01946,No,Unusual/unexplained Activity,Female,8/9/1959,Yes,Maryland,Retirement Plan
2021-01-00110,No,Unusual/unexplained Activity,Male,5/17/1972,No,California,Life Insurance
2022-05-01593,No,Elder Financial Exploitation,Female,11/18/1953,Yes,Florida,Life Insurance
2021-09-02683,No,Fraudulent Patterns,Female,2/25/1984,Yes,Missouri,Retirement Plan
2022-07-01964,No,Suspicious Call,Male,12/5/1943,Yes,California,Retirement Plan
2022-08-02298,No,ACH Fraud,Female,12/17/1946,Yes,Massachusetts,Retirement Plan
2022-02-00318,No,Suspicious Call,Male,11/21/1980,Yes,Tennessee,Retirement Plan
2022-10-02937,No,Suspicious Call,Male,9/13/1938,Yes,Washington,Retirement Plan
2022-12-03780,No,Suspicious Call,Female,2/17/1950,Yes,Texas,Retirement Plan
2022-05-01368,No,Elder Financial Exploitation,Male,7/3/1955,Yes,Missouri,Variable Annuity
2021-11-03302,No,Fraudulent Patterns,Male,8/29/1964,Yes,Florida,Retirement Plan
2022-01-00161,No,Unusual/unexplained Activity,Male,2/25/1961,Yes,Georgia,Variable Annuity
2021-08-02384,No,ACH Fraud,Male,4/21/1954,Yes,Michigan,Variable Annuity
2021-10-03145,No,Producer Misconduct,Male,11/15/1960,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,4/2/1960,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,6/4/1954,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,11/2/1962,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,12/12/1956,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,1/16/1958,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,10/7/1953,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,5/23/1960,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,9/26/1960,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,3/3/1958,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,6/11/1950,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,10/26/1958,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,7/29/1959,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,10/15/1964,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,6/30/1952,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,4/3/1959,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,12/20/1956,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,8/17/1956,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,11/2/1962,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,3/11/1951,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Female,7/17/1954,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,11/21/1956,Yes,Georgia,Fixed Annuity
2021-10-03145,No,Producer Misconduct,Male,10/31/1960,Yes,Georgia,Fixed Annuity
2021-01-00041,No,Unusual/unexplained Activity,Male,4/3/1963,Yes,Texas,Life Insurance
2021-03-00892,No,Fraudulent Documents,Male,10/10/1931,Yes,New York,Retirement Plan
2021-08-02379,No,Money Laundering,Male,12/6/1932,Yes,Nevada,Fixed Annuity
2022-06-01643,No,Unusual/unexplained Activity,Female,4/26/1962,Yes,Michigan,Life Insurance
2022-05-01337,No,Structuring,Female,10/13/1945,Yes,Idaho,Variable Annuity
2021-11-03276,No,Suspicious Call,Male,1/1/1961,Yes,Florida,Retirement Plan
2021-01-00222,No,Identity Theft,Male,5/22/1969,No,California,Retirement Plan
2022-05-01348,No,Suspicious Call,Male,1/12/1984,Yes,Texas,Retirement Plan
2021-01-00122,No,Unusual/unexplained Activity,Male,7/1/1950,Yes,Connecticut,Fixed Annuity
2022-05-01533,No,Account Takeover,Female,11/4/1962,Yes,Texas,Retirement Plan
2022-10-03071,No,Fraudulent Patterns,Female,8/4/1949,Yes,New York,Retirement Plan
2021-04-01275,No,Unusual/unexplained Activity,Female,1/18/1963,No,California,Life Insurance
2021-01-00203,No,Unknown Source of Funds,Male,9/16/1971,Yes,California,Life Insurance
2021-02-00575,No,Unknown Source of Funds,Male,8/16/1982,Yes,California,Life Insurance
2021-12-03538,No,Elder Financial Exploitation,Female,1/14/1943,Yes,New York,Retirement Plan
2022-01-00048,No,Suspicious Call,Female,4/30/1949,Yes,New York,Retirement Plan
2021-09-02702,No,Elder Financial Exploitation,Male,11/30/1947,Yes,Texas,Retirement Plan
2021-12-03758,No,Fraudulent Documents,Male,9/24/1954,Yes,Michigan,Retirement Plan
2021-08-02294,No,Unusual/unexplained Activity,Female,8/16/1976,No,Wisconsin,Life Insurance
2021-08-02294,No,Unusual/unexplained Activity,Male,5/10/1974,No,Wisconsin,Life Insurance
2021-06-01748,No,Unknown Source of Funds,Female,1/20/1970,Yes,California,Life Insurance
2021-03-00697,No,Fraudulent Patterns,Male,2/9/1950,Yes,Pennsylvania,Retirement Plan
2022-06-01795,No,Elder Financial Exploitation,Female,6/13/1935,Yes,Oregon,Retirement Plan
2022-08-02416,No,Fraudulent Documents,Male,8/23/1974,Yes,Illinois,Retirement Plan
2021-02-00348,No,Unknown Source of Funds,Female,11/24/1959,No,Pennsylvania,Life Insurance
2021-03-00634,Yes,Elder Financial Exploitation,Male,6/26/1947,Yes,California,Retirement Plan
2022-11-03318,No,Elder Financial Exploitation,Male,12/4/1938,Yes,South Carolina,Variable Annuity
2022-10-03234,No,Unusual/unexplained Activity,Female,12/11/1964,Yes,Florida,Variable Annuity
2021-01-00045,No,Suspicious Call,Female,4/9/1979,No,Kentucky,Retirement Plan
2022-07-02118,No,Unknown Source of Funds,Male,11/12/1926,Yes,Oregon,Variable Annuity
2022-12-03787,No,Suspicious Call,Male,1/27/1932,Yes,New Jersey,Retirement Plan
2022-02-00398,No,Fraudulent Patterns,Male,2/24/1985,Yes,California,Retirement Plan
2022-03-00778,No,Suspicious Call,Male,6/30/1943,Yes,California,Retirement Plan
2022-05-01407,No,Elder Financial Exploitation,Male,8/12/1956,Yes,Pennsylvania,Retirement Plan
2021-08-02419,No,Suspicious Call,Female,2/27/1944,Yes,Arizona,Retirement Plan
2021-04-01094,No,Suspicious Call,Female,9/14/1938,Yes,New York,Retirement Plan
2021-10-02938,No,Elder Financial Exploitation,Female,6/29/1934,Yes,New York,Variable Annuity
2022-09-02686,No,Fraudulent Patterns,Male,6/21/1946,Yes,Florida,Variable Annuity
2022-06-01674,No,Unusual/unexplained Activity,Female,5/31/1987,Yes,California,Life Insurance
2021-07-02112,No,Unknown Third Party Payment,Female,7/31/1967,Yes,California,Variable Annuity
2021-03-00889,No,Check Fraud,Female,5/29/1938,Yes,Florida,Retirement Plan
2022-08-02355,No,Suspicious Call,Male,12/20/1989,Yes,New York,Variable Annuity
2022-08-02355,No,Suspicious Call,Male,7/10/1960,Yes,New York,Variable Annuity
2021-11-03337,No,Elder Financial Exploitation,Male,8/14/1957,Yes,Pennsylvania,Retirement Plan
2021-08-02477,No,Fraudulent Patterns,Female,5/10/1959,Yes,Arkansas,Retirement Plan
2022-05-01514,No,Fraudulent Documents,Male,12/1/1967,Yes,Florida,Retirement Plan
2022-09-02635,No,Suspicious Call,Female,5/15/1949,Yes,South Carolina,Retirement Plan
2021-12-03831,No,Unusual/unexplained Activity,Female,4/29/1987,Yes,Florida,Fixed Annuity
2021-12-03831,No,Unusual/unexplained Activity,Female,1/27/1979,Yes,Florida,Fixed Annuity
2021-12-03831,No,Unusual/unexplained Activity,Male,10/21/1957,Yes,Florida,Fixed Annuity
2021-12-03831,No,Unusual/unexplained Activity,Male,7/2/1976,Yes,Florida,Fixed Annuity
2022-11-03336,No,Loan Fraud,Female,5/24/1973,Yes,Arizona,Retirement Plan
2022-04-01041,No,ACH Fraud,Male,8/18/1982,Yes,California,Retirement Plan
2021-03-00950,No,Fraudulent Documents,Male,5/20/1962,Yes,West Virginia,Retirement Plan
2022-01-00066,No,Check Fraud,Male,6/19/1962,Yes,Oregon,Retirement Plan
2021-01-00204,No,Unusual/unexplained Activity,Female,4/17/1959,Yes,North Carolina,Life Insurance
2021-01-00204,No,Unusual/unexplained Activity,Male,12/19/1946,Yes,North Carolina,Life Insurance
2021-02-00288,No,Unusual/unexplained Activity,Male,2/7/1968,Yes,Ohio,Life Insurance
2021-12-03571,No,Fraudulent Documents,Female,4/29/1981,Yes,California,Retirement Plan
2021-08-02392,No,Suspicious Call,Female,12/21/1951,Yes,New York,Retirement Plan
2021-09-02616,No,Fraudulent Patterns,Male,10/18/1966,Yes,Illinois,Retirement Plan
2021-02-00477,Yes,Elder Financial Exploitation,Female,6/28/1950,Yes,Ohio,Variable Annuity
2021-05-01329,No,Fraudulent Patterns,Male,9/19/1988,Yes,Florida,Retirement Plan
2021-08-02355,No,Fraudulent Patterns,Male,2/8/1951,Yes,New York,Retirement Plan
2021-04-01154,No,Fraudulent Patterns,Female,8/8/1931,Yes,Florida,Retirement Plan
2022-05-01591,No,Suspicious Call,Male,3/26/1987,No,Washington,Retirement Plan
2021-03-00944,No,Producer Misconduct,Male,1/11/1961,Yes,Florida,Retirement Plan
2021-11-03233,No,Suspicious Call,Female,8/20/1962,Yes,California,Retirement Plan
2021-02-00414,No,Fraudulent Patterns,Female,10/18/1959,Yes,Florida,Retirement Plan
2021-09-02631,No,Suspicious Call,Male,5/4/1971,Yes,Illinois,Retirement Plan
2022-06-01660,No,Elder Financial Exploitation,Male,5/24/1958,Yes,South Carolina,Life Insurance
2022-11-03438,No,Money Laundering,Female,1/15/1985,Yes,Alabama,Variable Annuity
2022-11-03438,No,Money Laundering,Male,10/4/1983,Yes,Alabama,Variable Annuity
2022-02-00359,No,Account Takeover,Male,3/15/1967,Yes,Arizona,Retirement Plan
2021-02-00286,No,Unusual/unexplained Activity,Male,2/22/1951,Yes,Ohio,Variable Annuity
2022-02-00400,No,ACH Fraud,Male,11/8/1943,Yes,New York,Retirement Plan
2022-02-00400,No,ACH Fraud,Female,6/23/1946,Yes,New York,Retirement Plan
2021-07-01997,No,Fraudulent Documents,Male,12/28/1989,Yes,Illinois,Retirement Plan
2021-02-00303,No,Unusual/unexplained Activity,Female,6/25/1994,No,Texas,Life Insurance
2022-09-02717,No,Money Laundering,Male,3/6/1982,Yes,California,Life Insurance
2022-12-03843,No,Suspicious Call,Female,11/19/1955,Yes,Washington,Retirement Plan
2022-10-02971,No,Identity Theft,Male,4/1/1957,Yes,New York,Retirement Plan
2021-03-00689,No,Suspicious Call,Male,5/6/1955,Yes,Wisconsin,Variable Annuity
2022-11-03355,No,Suspicious Call,Female,9/25/1974,Yes,Washington,Retirement Plan
2022-07-02109,No,Suspicious Call,Male,11/8/1963,Yes,Ohio,Retirement Plan
2021-02-00375,No,Check Fraud,Male,10/26/1992,Yes,California,Retirement Plan
2022-01-00065,No,Elder Financial Exploitation,Female,8/10/1944,Yes,California,Variable Annuity
2021-06-01862,No,Unknown Source of Funds,Female,5/15/1964,Yes,California,Life Insurance
2021-06-01862,No,Unknown Source of Funds,Male,11/4/1963,Yes,California,Life Insurance
2021-05-01501,No,Unusual/unexplained Activity,Male,9/19/1966,Yes,New Jersey,Fixed Annuity
2021-05-01501,No,Unusual/unexplained Activity,Female,5/22/1994,Yes,New Jersey,Fixed Annuity
2022-02-00467,No,Unknown Source of Funds,Female,9/26/1963,Yes,Arizona,Life Insurance
2021-03-00650,No,Suspicious Call,Female,3/17/1951,Yes,California,Retirement Plan
2021-02-00586,No,Money Laundering,Male,9/13/1962,Yes,North Carolina,Fixed Annuity
2022-03-00562,No,Fraudulent Patterns,Female,5/7/1959,Yes,New York,Retirement Plan
2022-09-02713,No,Suspicious Call,Female,10/9/1982,Yes,Kentucky,Life Insurance
2022-09-02713,No,Suspicious Call,Female,11/6/1954,Yes,Kentucky,Life Insurance
2022-01-00140,No,Producer Misconduct,Male,10/24/1991,Yes,New York,Retirement Plan
2022-08-02385,No,Unusual/unexplained Activity,Male,8/11/1991,Yes,California,Life Insurance
2021-03-00717,No,Suspicious Call,Female,11/30/1939,Yes,Ohio,Retirement Plan
2021-11-03280,No,Unknown Third Party Payment,Female,4/22/1942,Yes,Maryland,Variable Annuity
2022-11-03512,No,Account Takeover,Female,5/18/1963,Yes,Virginia,Retirement Plan
2022-09-02671,No,Elder Financial Exploitation,Female,11/3/1950,Yes,New York,Retirement Plan
2022-09-02671,No,Elder Financial Exploitation,Female,3/15/1975,Yes,New York,Retirement Plan
2021-03-00793,No,Suspicious Call,Female,6/24/1948,Yes,California,Retirement Plan
2022-03-00801,No,Fraudulent Patterns,Male,8/6/1926,Yes,Oklahoma,Retirement Plan
2022-04-01129,No,Fraudulent Patterns,Female,5/3/1961,Yes,New York,Retirement Plan
2022-04-01100,No,Account Takeover,Male,11/19/1970,Yes,West Virginia,Retirement Plan
2021-12-03740,No,Account Takeover,Female,7/7/1970,Yes,Ohio,Retirement Plan
2021-01-00183,No,Fraudulent Documents,Female,9/20/1970,No,Minnesota,Retirement Plan
